ctgov,dist,loglik,aic
NCT00051558,weibull,-1.565e+03,3.135e+03
NCT00125918,weibull,-4.731e+02,9.502e+02
NCT00152984,weibull,-1.398e+02,2.837e+02
NCT00153023,weibull,-1.377e+03,2.758e+03
NCT00153088,weibull,-7.626e+02,1.529e+03
NCT00168831,weibull,-2.005e+03,4.013e+03
NCT00168844,weibull,-1.607e+03,3.218e+03
NCT00168857,weibull,-1.444e+03,2.892e+03
NCT00239421,weibull,-1.988e+02,4.016e+02
NCT00274014,weibull,-2.024e+03,4.053e+03
NCT00274053,weibull,-8.700e+02,1.744e+03
NCT00274079,weibull,-3.676e+02,7.392e+02
NCT00274547,weibull,-2.921e+03,5.846e+03
NCT00274560,weibull,-5.213e+02,1.047e+03
NCT00274573,weibull,-2.012e+03,4.028e+03
NCT00274599,weibull,-6.808e+02,1.366e+03
NCT00274612,weibull,-6.427e+02,1.289e+03
NCT00277264,weibull,-1.720e+03,3.444e+03
NCT00321854,weibull,-1.176e+03,2.357e+03
NCT00384930,weibull,-1.070e+03,2.143e+03
NCT00402233,weibull,-2.758e+02,5.556e+02
NCT00466167,weibull,-5.507e+02,1.105e+03
NCT00472199,weibull,-6.724e+02,1.349e+03
NCT00479401,weibull,-7.626e+02,1.529e+03
NCT00525512,weibull,-1.335e+03,2.675e+03
NCT00563381,weibull,-1.040e+04,2.080e+04
NCT00601250,weibull,-4.439e+02,8.919e+02
NCT00602472,weibull,-6.715e+02,1.347e+03
NCT00622284,weibull,-3.152e+03,6.307e+03
NCT00641043,weibull,-2.795e+02,5.631e+02
NCT00654381,weibull,-2.712e+02,5.465e+02
NCT00734474,weibull,-3.574e+03,7.152e+03
NCT00740051,weibull,-4.141e+02,8.323e+02
NCT00772538,weibull,-4.099e+02,8.238e+02
NCT00776984,weibull,-4.562e+02,9.165e+02
NCT00782210,weibull,-9.839e+02,1.972e+03
NCT00782509,weibull,-8.409e+02,1.686e+03
NCT00793624,weibull,-1.395e+03,2.794e+03
NCT00798161,weibull,-8.082e+02,1.620e+03
NCT00800683,weibull,-2.732e+02,5.504e+02
NCT00848081,weibull,-2.719e+02,5.478e+02
NCT00855582,weibull,-5.273e+02,1.059e+03
NCT00861757,weibull,-3.883e+02,7.805e+02
NCT00915772,weibull,-9.318e+02,1.868e+03
NCT00926289,weibull,-4.387e+02,8.815e+02
NCT00954447,weibull,-1.508e+03,3.020e+03
NCT00970632,weibull,-4.060e+02,8.159e+02
NCT00975195,weibull,-3.864e+03,7.732e+03
NCT00996658,weibull,-2.486e+02,5.012e+02
NCT01064687,weibull,-9.416e+02,1.887e+03
NCT01075282,weibull,-7.909e+02,1.586e+03
NCT01084005,weibull,-1.787e+02,3.615e+02
NCT01087502,weibull,-4.154e+02,8.349e+02
NCT01126437,weibull,-3.515e+04,7.031e+04
NCT01126580,weibull,-1.201e+03,2.405e+03
NCT01131676,weibull,-4.103e+03,8.210e+03
NCT01159600,weibull,-8.536e+02,1.711e+03
NCT01164501,weibull,-8.081e+02,1.620e+03
NCT01167881,weibull,-2.319e+03,4.642e+03
NCT01177813,weibull,-7.754e+02,1.555e+03
NCT01191268,weibull,-1.327e+03,2.659e+03
NCT01191944,weibull,-2.907e+02,5.854e+02
NCT01194830,weibull,-3.855e+02,7.751e+02
NCT01204294,weibull,-3.450e+02,6.940e+02
NCT01210001,weibull,-3.351e+02,6.743e+02
NCT01214239,weibull,-2.435e+02,4.910e+02
